Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW_72,"A,8 (P01)",SW_CAP_IBM_B,206.17,89.97,0.0,top
SW_73,"B,8 (P02)",SW_CAP_IBM_B,225.22,89.97,0.0,top
SW_74,"C,8 (P03)",SW_CAP_IBM_B,244.27,89.97,0.0,top
SW_75,"C,7 (P04)",SW_CAP_IBM_B,263.32,89.97,180.0,top
SW_76,"A,7 (P05)",SW_CAP_IBM_B,206.17,70.92,0.0,top
SW_77,"B,7 (P06)",SW_CAP_IBM_B,225.22,70.92,0.0,top
SW_78,"C,6 (P07)",SW_CAP_IBM_B,244.27,70.92,0.0,top
SW_79,"C,5 (P08)",SW_CAP_IBM_B,263.32,70.92,180.0,top
SW_80,"A,6 (P09)",SW_CAP_IBM_B,206.17,51.87,0.0,top
SW_81,"B,6 (P10)",SW_CAP_IBM_B,225.22,51.87,0.0,top
SW_82," B,5 (P11)",SW_CAP_IBM_B,244.27,51.87,180.0,top
SW_83,"C,4 (P12)",SW_CAP_IBM_B,263.32,51.87,180.0,top
SW_84,"A,5 (P13)",SW_CAP_IBM_B,206.17,32.82,0.0,top
SW_85,"B,4 (P14)",SW_CAP_IBM_B,225.22,32.82,0.0,top
SW_86,"B,3 (P15)",SW_CAP_IBM_B,244.27,32.82,180.0,top
SW_87,"C,3 (P16)",SW_CAP_IBM_B,263.32,32.82,180.0,top
SW_88,"A,4 (P17)",SW_CAP_IBM_B,206.17,13.77,0.0,top
SW_89,"A,3 (P18)",SW_CAP_IBM_B,225.22,13.77,180.0,top
SW_90,"B,2 (P19)",SW_CAP_IBM_B,244.27,13.77,180.0,top
SW_91,"C,2 (P20)",SW_CAP_IBM_B,263.32,13.77,180.0,top
SW_92,"A,2 (P21)",SW_CAP_IBM_B,206.17,-5.28,0.0,top
SW_93,"A,1 (P22)",SW_CAP_IBM_B,225.22,-5.28,180.0,top
SW_94,"B,1 (P23)",SW_CAP_IBM_B,244.27,-5.28,180.0,top
SW_95,"C,1 (P24)",SW_CAP_IBM_B,263.32,-5.28,180.0,top
