Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW_72,"A,8 (P01)",SW_CAP_IBM_B,442.245,-153.15,0.0,top
SW_73,"B,8 (P02)",SW_CAP_IBM_B,461.295,-153.15,0.0,top
SW_74,"C,8 (P03)",SW_CAP_IBM_B,480.345,-153.15,0.0,top
SW_75,"C,7 (P04)",SW_CAP_IBM_B,499.395,-153.15,180.0,top
SW_76,"A,7 (P05)",SW_CAP_IBM_B,442.245,-172.2,0.0,top
SW_77,"B,7 (P06)",SW_CAP_IBM_B,461.295,-172.2,0.0,top
SW_78,"C,6 (P07)",SW_CAP_IBM_B,480.345,-172.2,0.0,top
SW_79,"C,5 (P08)",SW_CAP_IBM_B,499.395,-172.2,180.0,top
SW_80,"A,6 (P09)",SW_CAP_IBM_B,442.245,-191.25,0.0,top
SW_81,"B,6 (P10)",SW_CAP_IBM_B,461.295,-191.25,0.0,top
SW_82," B,5 (P11)",SW_CAP_IBM_B,480.345,-191.25,180.0,top
SW_83,"C,4 (P12)",SW_CAP_IBM_B,499.395,-191.25,180.0,top
SW_84,"A,5 (P13)",SW_CAP_IBM_B,442.245,-210.3,0.0,top
SW_85,"B,4 (P14)",SW_CAP_IBM_B,461.295,-210.3,0.0,top
SW_86,"B,3 (P15)",SW_CAP_IBM_B,480.345,-210.3,180.0,top
SW_87,"C,3 (P16)",SW_CAP_IBM_B,499.395,-210.3,180.0,top
SW_88,"A,4 (P17)",SW_CAP_IBM_B,442.245,-229.35,0.0,top
SW_89,"A,3 (P18)",SW_CAP_IBM_B,461.295,-229.35,180.0,top
SW_90,"B,2 (P19)",SW_CAP_IBM_B,480.345,-229.35,180.0,top
SW_91,"C,2 (P20)",SW_CAP_IBM_B,499.395,-229.35,180.0,top
SW_92,"A,2 (P21)",SW_CAP_IBM_B,442.245,-248.4,0.0,top
SW_93,"A,1 (P22)",SW_CAP_IBM_B,461.295,-248.4,180.0,top
SW_94,"B,1 (P23)",SW_CAP_IBM_B,480.345,-248.4,180.0,top
SW_95,"C,1 (P24)",SW_CAP_IBM_B,499.395,-248.4,180.0,top
